gpsDate,Fuel_Consum,Vehicle_Speed,Engine_Speed,Odometer_Reading,Drive Ac,Fuel_Gauge,,,,,,
1488549906,0.5265,0,1292.96875,16446,66,73,,,,,,
1488549907,0.5265,0,1294.53125,16446,66,73,,,,,,
1488549908,0.53,0,1298.4375,16446,66,73,,,,,,
1488549909,0.531,0,1294.53125,16446,66,73,,,,,,
1488549910,0.532,0,1297.65625,16446,66,73,,,,,,
1488549911,0.536,0,1298.4375,16446,66,73,,,,,,
1488549912,0.531,0,1296.875,16446,66,73,,,,,,
1488549913,0.5275,0,1299.21875,16446,66,73,,,,,,
1488549914,0.528,0,1298.4375,16446,66,73,,,,,,
1488549915,0.53,0,1298.4375,16446,66,73,,,,,,
1488549916,0.5355,0,1300,16446,66,73,,,,,,
1488549917,0.534,0,1300.78125,16446,66,73,,,,,,
1488549918,0.528,0,1300,16446,66,73,,,,,,
1488549919,0.532,0,1299.21875,16446,66,73,,,,,,
1488549920,0.5455,0,1296.875,16446,66,73,,,,,,
1488549921,0.531,0,1299.21875,16446,66,73,,,,,,
1488549922,0.5305,0,1258.59375,16446,66,73,,,,,,
1488549923,0.29,0,1171.09375,16446,66,73,,,,,,
1488549924,0.3025,0,1181.25,16446,66,73,,,,,,
1488549925,0.306,0,1184.375,16446,66,73,,,,,,
1488549926,0.31,0,1185.9375,16446,66,73,,,,,,
1488549927,0.3245,0,1189.0625,16446,66,73,,,,,,
1488549928,0.32,0,1163.28125,16446,66,73,,,,,,
1488549929,0.3365,0,1171.875,16446,66,73,,,,,,
1488549930,0.336,0,1174.21875,16446,66,73,,,,,,
1488549931,0.325,0,1173.4375,16446,66,73,,,,,,
1488549932,0.3365,0,1173.4375,16446,66,73,,,,,,
1488549933,0.3335,0,1175,16446,66,73,,,,,,
1488549934,0.337,0,1173.4375,16446,66,73,,,,,,
1488549935,0.334,0,1175,16446,66,73,,,,,,
1488549936,0.3355,0,1175,16446,66,73,,,,,,
1488549937,0.3335,0,1173.4375,16446,66,73,,,,,,
1488549938,0.322,0,1171.875,16446,66,73,,,,,,
1488549939,0.333,0,1173.4375,16446,66,73,,,,,,
1488549940,0.323,0,1174.21875,16446,66,73,,,,,,
1488549941,0.332,0,1175,16446,66,73,,,,,,
1488549942,0.334,0,1176.5625,16446,66,73,,,,,,
1488549943,0.32,0,1175.78125,16446,66,73,,,,,,
1488549944,0.3335,0,1174.21875,16446,66,73,,,,,,
1488549945,0.325,0,1150,16446,66,73,,,,,,
1488549946,0.3425,0,1152.34375,16446,66,73,,,,,,
1488549947,0.3325,0,1150.78125,16446,66,73,,,,,,
1488549948,0.3305,0,1149.21875,16446,66,73,,,,,,
1488549949,0.3425,0,1150.78125,16446,66,73,,,,,,
1488549950,0.332,0,1150.78125,16446,66,73,,,,,,
1488549951,0.331,0,1149.21875,16446,66,73,,,,,,
1488549952,0.327,0,1148.4375,16446,66,73,,,,,,
1488549953,0.3265,0,1146.09375,16446,66,73,,,,,,
1488549954,0.342,0,1149.21875,16446,66,73,,,,,,
1488549955,0.3285,0,1146.875,16446,66,73,,,,,,
1488549956,0.33,0,1152.34375,16446,66,73,,,,,,
1488549957,0.327,0,1148.4375,16446,66,73,,,,,,
1488549958,0.3275,0,1152.34375,16446,66,73,,,,,,
1488549959,0.3275,0,1149.21875,16446,66,73,,,,,,
1488549960,0.326,0,1149.21875,16446,66,73,,,,,,
1488549961,0.328,0,1149.21875,16446,66,73,,,,,,
1488549962,0.3295,0,1148.4375,16446,66,73,,,,,,
1488549963,0.3305,0,1151.5625,16446,66,73,,,,,,
1488549964,0.326,0,1150,16446,66,73,,,,,,
1488549965,0.3285,0,1132.8125,16446,66,73,,,,,,
1488549966,0.3315,0,1139.0625,16446,66,73,,,,,,
1488549967,0.331,0,1139.84375,16446,66,73,,,,,,
1488549968,0.33,0,1137.5,16446,66,73,,,,,,
1488549969,0.332,0,1138.28125,16446,66,73,,,,,,
1488549970,0.331,0,1134.375,16446,66,73,,,,,,
1488549971,0.3305,0,1139.0625,16446,66,73,,,,,,
1488549972,0.3305,0,1135.9375,16446,66,73,,,,,,
1488549973,0.32,0,1136.71875,16446,66,73,,,,,,
1488549974,0.3305,0,1138.28125,16446,66,73,,,,,,
1488549975,0.331,0,1136.71875,16446,66,73,,,,,,
1488549976,0.321,0,1137.5,16446,66,73,,,,,,
1488549977,0.331,0,1135.15625,16446,66,73,,,,,,
1488549978,0.332,0,1138.28125,16446,66,73,,,,,,
1488549979,0.318,0,1135.9375,16446,66,73,,,,,,
1488549980,0.328,0,1137.5,16446,66,73,,,,,,
1488549981,0.3295,0,1136.71875,16446,66,73,,,,,,
1488549982,0.3305,0,1139.84375,16446,66,73,,,,,,
1488549983,0.33,0,1135.9375,16446,66,73,,,,,,
1488549984,0.3305,0,1139.0625,16446,66,73,,,,,,
1488549985,0.3175,0,1138.28125,16446,66,73,,,,,,
1488549986,0.3295,0,1137.5,16446,66,73,,,,,,
1488549987,0.3295,0,1135.9375,16446,66,73,,,,,,
1488549988,0.332,0,1139.0625,16446,66,73,,,,,,
1488549989,0.3325,0,1137.5,16446,66,73,,,,,,
1488549990,0.317,0,1136.71875,16446,66,73,,,,,,
1488549991,0.3275,0,1139.0625,16446,66,73,,,,,,
1488549992,0.326,0,1133.59375,16446,66,73,,,,,,
1488549993,0.3245,0,1136.71875,16446,66,73,,,,,,
1488549994,0.3285,0,1135.9375,16446,66,73,,,,,,
1488549995,0.3165,0,1136.71875,16446,66,73,,,,,,
1488549996,0.329,0,1135.9375,16446,66,73,,,,,,
1488549997,0.3285,0,1137.5,16446,66,73,,,,,,
1488549998,0.328,0,1133.59375,16446,66,73,,,,,,
1488549999,0.327,0,1136.71875,16446,66,73,,,,,,
1488550000,0.3175,0,1138.28125,16446,66,73,,,,,,
1488550001,0.3275,0,1136.71875,16446,66,73,,,,,,
1488550002,0.3295,0,1135.9375,16446,66,73,,,,,,
1488550003,0.328,0,1135.9375,16446,66,73,,,,,,
1488550004,0.3295,0,1136.71875,16446,66,73,,,,,,
1488550005,0.3175,0,1137.5,16446,66,73,,,,,,
1488550006,0.3275,0,1135.9375,16446,66,73,,,,,,
1488550007,0.3295,0,1135.9375,16446,66,73,,,,,,
1488550008,0.3165,0,1135.15625,16446,66,73,,,,,,
1488550009,0.3255,0,1135.9375,16446,66,73,,,,,,
1488550010,0.324,0,1137.5,16446,66,73,,,,,,
1488550011,0.3255,0,1135.9375,16446,66,73,,,,,,
1488550012,0.326,0,1137.5,16446,66,73,,,,,,
1488550013,0.315,0,1134.375,16446,66,73,,,,,,
1488550014,0.327,0,1135.15625,16446,66,73,,,,,,
1488550015,0.316,0,1133.59375,16446,66,73,,,,,,
1488550016,0.326,0,1135.9375,16446,66,73,,,,,,
1488550017,0.328,0,1130.46875,16446,66,73,,,,,,
1488550018,0.328,0,1132.03125,16446,66,73,,,,,,
1488550019,0.3155,0,1127.34375,16446,66,73,,,,,,
1488550020,0.3075,0,1111.71875,16446,66,73,,,,,,
1488550021,0.308,0,1107.03125,16446,66,73,,,,,,
1488550022,0.31,0,1106.25,16446,66,73,,,,,,
1488550023,0.3105,0,1107.8125,16446,66,73,,,,,,
1488550024,0.3105,0,1106.25,16446,66,73,,,,,,
1488550025,0.311,0,1105.46875,16446,66,73,,,,,,
1488550026,0.3115,0,1106.25,16446,66,73,,,,,,
1488550027,0.3125,0,1105.46875,16446,66,73,,,,,,
1488550028,0.3105,0,1103.90625,16446,66,73,,,,,,
1488550029,0.311,0,1106.25,16446,66,73,,,,,,
1488550030,0.3105,0,1107.03125,16446,66,73,,,,,,
1488550031,0.3105,0,1105.46875,16446,66,73,,,,,,
1488550032,0.3115,0,1107.8125,16446,66,73,,,,,,
1488550033,0.3105,0,1103.90625,16446,66,73,,,,,,
1488550034,0.3095,0,1103.90625,16446,66,73,,,,,,
1488550035,0.3095,0,1107.8125,16446,66,73,,,,,,
1488550036,0.311,0,1105.46875,16446,66,73,,,,,,
1488550037,0.3105,0,1105.46875,16446,66,73,,,,,,
1488550038,0.3095,0,1109.375,16446,66,73,,,,,,
1488550039,0.311,0,1113.28125,16446,66,73,,,,,,
1488550040,0.308,0,1113.28125,16446,66,73,,,,,,
1488550041,0.3085,0,1112.5,16446,66,73,,,,,,
1488550042,0.3065,0,1118.75,16446,66,73,,,,,,
1488550043,0.308,0,1114.84375,16446,66,73,,,,,,
1488550044,0.319,0,1117.1875,16446,66,73,,,,,,
1488550045,0.3085,0,1118.75,16446,66,73,,,,,,
1488550046,0.319,0,1117.96875,16446,66,73,,,,,,
1488550047,0.3065,0,1116.40625,16446,66,73,,,,,,
1488550048,0.307,0,1117.1875,16446,66,73,,,,,,
1488550049,0.308,0,1107.8125,16446,66,73,,,,,,
1488550050,0.307,0,1105.46875,16446,66,73,,,,,,
1488550051,0.3075,0,1101.5625,16446,66,73,,,,,,
1488550052,0.309,0,1101.5625,16446,66,73,,,,,,
1488550053,0.2995,0,1101.5625,16446,66,73,,,,,,
1488550054,0.3085,0,1101.5625,16446,66,73,,,,,,
1488550055,0.3115,0,1100,16446,66,73,,,,,,
1488550056,0.309,0,1100.78125,16446,66,73,,,,,,
1488550057,0.299,0,1099.21875,16446,66,73,,,,,,
1488550058,0.3085,0,1098.4375,16446,66,73,,,,,,
1488550059,0.3095,0,1100,16446,66,73,,,,,,
1488550060,0.3005,0,1100.78125,16446,66,73,,,,,,
1488550061,0.309,0,1100.78125,16446,66,72,,,,,,
1488550062,0.311,0,1100.78125,16446,66,72,,,,,,
1488550063,0.309,0,1098.4375,16446,66,72,,,,,,
1488550064,0.3,0,1100,16446,66,72,,,,,,
1488550065,0.309,0,1100.78125,16446,66,72,,,,,,
1488550066,0.309,0,1099.21875,16446,66,72,,,,,,
1488550067,0.312,0,1100,16446,66,72,,,,,,
1488550068,0.3095,0,1100.78125,16446,66,72,,,,,,
1488550069,0.3105,0,1099.21875,16446,66,72,,,,,,
1488550070,0.309,0,1098.4375,16446,66,72,,,,,,
1488550071,0.297,0,1100.78125,16446,66,72,,,,,,
1488550072,0.3075,0,1099.21875,16446,66,72,,,,,,
1488550073,0.3085,0,1100.78125,16446,66,72,,,,,,
1488550074,0.298,0,1099.21875,16446,66,72,,,,,,
1488550075,0.309,0,1099.21875,16446,66,72,,,,,,
1488550076,0.3085,0,1100,16446,66,72,,,,,,
1488550077,0.3085,0,1100,16446,66,72,,,,,,
1488550078,0.3095,0,1100,16446,66,72,,,,,,
1488550079,0.306,0,1100,16446,66,72,,,,,,
1488550080,0.3085,0,1100,16446,66,72,,,,,,
1488550081,0.297,0,1100.78125,16446,66,72,,,,,,
1488550082,0.3085,0,1103.90625,16446,66,72,,,,,,
1488550083,0.3065,0,1110.9375,16446,66,72,,,,,,
1488550084,0.3045,0,1107.03125,16446,66,72,,,,,,
